#mGo	mLSP	Total	Counts	genWeight
700	0	5469388	25357	25357.000
1400	950	5469388	3631	3631.000
1750	0	5469388	3453	3453.000
1350	1000	5469388	3244	3244.000
1550	700	5469388	3416	3416.000
1200	400	5469388	10095	10095.000
1850	1600	5469388	3153	3153.000
1750	950	5469388	2355	2355.000
1850	1000	5469388	3672	3672.000
2000	800	5469388	3675	3675.000
800	575	5469388	23275	23275.000
1850	1450	5469388	3631	3631.000
1100	500	5469388	21657	21657.000
1700	750	5469388	3519	3519.000
1250	0	5469388	8353	8353.000
1250	600	5469388	7721	7721.000
1500	1050	5469388	2296	2296.000
1450	450	5469388	3106	3106.000
1350	550	5469388	4524	4524.000
2000	1250	5469388	3238	3238.000
1300	1075	5469388	6038	6038.000
1550	100	5469388	3596	3596.000
1000	550	5469388	23571	23571.000
1800	600	5469388	2543	2543.000
1700	1450	5469388	2640	2640.000
1900	1600	5469388	3659	3659.000
1800	1500	5469388	2961	2961.000
1550	600	5469388	2664	2664.000
1050	350	5469388	23602	23602.000
1250	750	5469388	9700	9700.000
850	500	5469388	23369	23369.000
600	0	5469388	63211	63211.000
1850	500	5469388	4013	4013.000
1800	1150	5469388	2500	2500.000
1050	800	5469388	23422	23422.000
1850	950	5469388	3707	3707.000
1750	800	5469388	2559	2559.000
1400	700	5469388	3552	3552.000
1200	200	5469388	11068	11068.000
1600	850	5469388	3071	3071.000
1400	100	5469388	3516	3516.000
1350	500	5469388	4060	4060.000
800	0	5469388	21046	21046.000
2000	500	5469388	3891	3891.000
1900	1500	5469388	1947	1947.000
1450	700	5469388	2901	2901.000
1950	1600	5469388	3637	3637.000
1450	1000	5469388	3434	3434.000
1500	100	5469388	2910	2910.000
1300	950	5469388	5361	5361.000
1750	1100	5469388	2972	2972.000
1250	1025	5469388	8475	8475.000
1500	1000	5469388	3343	3343.000
1600	1375	5469388	3363	3363.000
1100	650	5469388	19262	19262.000
1650	650	5469388	3463	3463.000
1100	200	5469388	20538	20538.000
1350	900	5469388	5355	5355.000
1950	1150	5469388	3095	3095.000
1750	900	5469388	3819	3819.000
1400	900	5469388	4296	4296.000
1400	850	5469388	4048	4048.000
1350	100	5469388	4127	4127.000
1750	100	5469388	4244	4244.000
1200	350	5469388	11327	11327.000
1300	0	5469388	6034	6034.000
1950	300	5469388	3849	3849.000
1950	1200	5469388	3637	3637.000
1800	700	5469388	2765	2765.000
1650	200	5469388	4108	4108.000
900	0	5469388	25326	25326.000
900	100	5469388	21776	21776.000
1650	1100	5469388	2766	2766.000
1250	1000	5469388	8527	8527.000
2000	1000	5469388	2912	2912.000
1850	1200	5469388	2707	2707.000
1700	500	5469388	3251	3251.000
1100	700	5469388	21460	21460.000
650	350	5469388	40885	40885.000
1100	750	5469388	18825	18825.000
1850	0	5469388	2862	2862.000
2000	100	5469388	2546	2546.000
1650	1050	5469388	2460	2460.000
1900	950	5469388	3468	3468.000
1000	350	5469388	23502	23502.000
1800	1575	5469388	3021	3021.000
1400	300	5469388	3577	3577.000
