#mGo	mLSP	Total	TotGenW	Counts	genWeight
1200	550	32362718	32362718.000	65987	65987.000
2300	1500	32362718	32362718.000	17649	17649.000
2050	700	32362718	32362718.000	19307	19307.000
1250	550	32362718	32362718.000	47766	47766.000
2400	500	32362718	32362718.000	18225	18225.000
1950	1300	32362718	32362718.000	19529	19529.000
2050	1150	32362718	32362718.000	20300	20300.000
1550	300	32362718	32362718.000	18562	18562.000
1600	400	32362718	32362718.000	18942	18942.000
1950	400	32362718	32362718.000	19628	19628.000
1700	1475	32362718	32362718.000	19349	19349.000
1000	700	32362718	32362718.000	145770	145770.000
1350	1100	32362718	32362718.000	28860	28860.000
1800	1200	32362718	32362718.000	21375	21375.000
2500	500	32362718	32362718.000	17182	17182.000
1350	200	32362718	32362718.000	27157	27157.000
1700	200	32362718	32362718.000	21207	21207.000
1650	600	32362718	32362718.000	20431	20431.000
1600	500	32362718	32362718.000	20242	20242.000
1200	450	32362718	32362718.000	69731	69731.000
750	525	32362718	32362718.000	130285	130285.000
2400	1100	32362718	32362718.000	19124	19124.000
1700	1100	32362718	32362718.000	18406	18406.000
1750	200	32362718	32362718.000	19942	19942.000
1950	500	32362718	32362718.000	15641	15641.000
1150	900	32362718	32362718.000	96772	96772.000
2500	300	32362718	32362718.000	17189	17189.000
2000	1400	32362718	32362718.000	20201	20201.000
2750	500	32362718	32362718.000	11487	11487.000
1050	825	32362718	32362718.000	150061	150061.000
1650	800	32362718	32362718.000	20577	20577.000
950	450	32362718	32362718.000	145681	145681.000
800	500	32362718	32362718.000	152199	152199.000
1850	800	32362718	32362718.000	18406	18406.000
1000	200	32362718	32362718.000	143544	143544.000
2500	700	32362718	32362718.000	20557	20557.000
1200	975	32362718	32362718.000	65970	65970.000
2500	1400	32362718	32362718.000	18567	18567.000
750	500	32362718	32362718.000	147318	147318.000
1400	800	32362718	32362718.000	21192	21192.000
2050	100	32362718	32362718.000	18162	18162.000
1450	1225	32362718	32362718.000	16178	16178.000
1400	500	32362718	32362718.000	20843	20843.000
2250	200	32362718	32362718.000	18316	18316.000
