#mGo	mLSP	Total	TotGenW	Counts	genWeight
1800	0	30642206	30642206.000	18592	18592.000
1250	500	30642206	30642206.000	46746	46746.000
800	300	30642206	30642206.000	130521	130521.000
2450	1200	30642206	30642206.000	16623	16623.000
2100	1100	30642206	30642206.000	18870	18870.000
1700	1250	30642206	30642206.000	18638	18638.000
1000	500	30642206	30642206.000	126024	126024.000
1150	1025	30642206	30642206.000	83550	83550.000
1050	750	30642206	30642206.000	128363	128363.000
1800	1250	30642206	30642206.000	16979	16979.000
1900	1400	30642206	30642206.000	16878	16878.000
2300	1750	30642206	30642206.000	20118	20118.000
2150	800	30642206	30642206.000	18107	18107.000
2150	400	30642206	30642206.000	14490	14490.000
1150	700	30642206	30642206.000	83114	83114.000
1800	950	30642206	30642206.000	14959	14959.000
2300	1200	30642206	30642206.000	17083	17083.000
2250	1750	30642206	30642206.000	16793	16793.000
2150	600	30642206	30642206.000	19016	19016.000
2600	900	30642206	30642206.000	20091	20091.000
2050	400	30642206	30642206.000	16059	16059.000
2000	1450	30642206	30642206.000	16782	16782.000
2050	1000	30642206	30642206.000	14619	14619.000
1750	1050	30642206	30642206.000	19122	19122.000
2050	1300	30642206	30642206.000	17927	17927.000
1300	650	30642206	30642206.000	28611	28611.000
2050	1750	30642206	30642206.000	13844	13844.000
650	500	30642206	30642206.000	174892	174892.000
2200	300	30642206	30642206.000	14537	14537.000
1100	400	30642206	30642206.000	109185	109185.000
1650	1000	30642206	30642206.000	16154	16154.000
850	725	30642206	30642206.000	118559	118559.000
1800	1050	30642206	30642206.000	14285	14285.000
700	300	30642206	30642206.000	123223	123223.000
1800	400	30642206	30642206.000	15340	15340.000
1550	1400	30642206	30642206.000	17812	17812.000
2050	1850	30642206	30642206.000	17802	17802.000
900	300	30642206	30642206.000	125986	125986.000
1350	300	30642206	30642206.000	24833	24833.000
2200	800	30642206	30642206.000	16415	16415.000
1250	1050	30642206	30642206.000	41280	41280.000
1650	950	30642206	30642206.000	17888	17888.000
1550	650	30642206	30642206.000	17229	17229.000
2400	900	30642206	30642206.000	16670	16670.000
2150	700	30642206	30642206.000	18157	18157.000
1700	600	30642206	30642206.000	15521	15521.000
1000	650	30642206	30642206.000	126379	126379.000
1700	1550	30642206	30642206.000	16609	16609.000
2300	700	30642206	30642206.000	19133	19133.000
2000	400	30642206	30642206.000	21141	21141.000
2450	1500	30642206	30642206.000	16847	16847.000
700	0	30642206	30642206.000	125639	125639.000
1400	950	30642206	30642206.000	19157	19157.000
1350	1200	30642206	30642206.000	25000	25000.000
750	400	30642206	30642206.000	134476	134476.000
2550	1550	30642206	30642206.000	14546	14546.000
1550	700	30642206	30642206.000	16579	16579.000
1200	400	30642206	30642206.000	62502	62502.000
