#mGo	mLSP	Total	TotGenW	Counts	genWeight
1850	1350	21137386	21137386.000	12801	12801.000
2550	1600	21137386	21137386.000	11360	11360.000
1800	900	21137386	21137386.000	9778	9778.000
2400	200	21137386	21137386.000	9775	9775.000
2350	400	21137386	21137386.000	10010	10010.000
1150	750	21137386	21137386.000	57333	57333.000
2000	1050	21137386	21137386.000	6792	6792.000
2300	400	21137386	21137386.000	9805	9805.000
1800	0	21137386	21137386.000	5915	5915.000
1250	500	21137386	21137386.000	28325	28325.000
800	300	21137386	21137386.000	90304	90304.000
2450	1200	21137386	21137386.000	6010	6010.000
2100	1100	21137386	21137386.000	15139	15139.000
1700	1250	21137386	21137386.000	8893	8893.000
1000	500	21137386	21137386.000	93350	93350.000
1150	1025	21137386	21137386.000	66451	66451.000
1050	750	21137386	21137386.000	88212	88212.000
1800	1250	21137386	21137386.000	10480	10480.000
1900	1400	21137386	21137386.000	10284	10284.000
2300	1750	21137386	21137386.000	14848	14848.000
2150	800	21137386	21137386.000	13593	13593.000
2150	400	21137386	21137386.000	10041	10041.000
1150	700	21137386	21137386.000	53971	53971.000
1800	950	21137386	21137386.000	11659	11659.000
2300	1200	21137386	21137386.000	11715	11715.000
2250	1750	21137386	21137386.000	13094	13094.000
2150	600	21137386	21137386.000	12610	12610.000
2600	900	21137386	21137386.000	11664	11664.000
2050	400	21137386	21137386.000	11616	11616.000
2000	1450	21137386	21137386.000	12620	12620.000
2050	1000	21137386	21137386.000	10945	10945.000
1750	1050	21137386	21137386.000	12261	12261.000
2050	1300	21137386	21137386.000	14993	14993.000
1300	650	21137386	21137386.000	26848	26848.000
2050	1750	21137386	21137386.000	10329	10329.000
650	500	21137386	21137386.000	159240	159240.000
2200	300	21137386	21137386.000	9020	9020.000
1100	400	21137386	21137386.000	87066	87066.000
1650	1000	21137386	21137386.000	9538	9538.000
850	725	21137386	21137386.000	88170	88170.000
1800	1050	21137386	21137386.000	10840	10840.000
700	300	21137386	21137386.000	93535	93535.000
1800	400	21137386	21137386.000	8192	8192.000
1550	1400	21137386	21137386.000	10834	10834.000
2050	1850	21137386	21137386.000	8306	8306.000
900	300	21137386	21137386.000	92180	92180.000
1350	300	21137386	21137386.000	17195	17195.000
2200	800	21137386	21137386.000	8065	8065.000
1250	1050	21137386	21137386.000	33106	33106.000
1650	950	21137386	21137386.000	11230	11230.000
1550	650	21137386	21137386.000	9440	9440.000
2400	900	21137386	21137386.000	9424	9424.000
2150	700	21137386	21137386.000	7914	7914.000
1700	600	21137386	21137386.000	9283	9283.000
1000	650	21137386	21137386.000	92364	92364.000
1700	1550	21137386	21137386.000	10527	10527.000
2300	700	21137386	21137386.000	7589	7589.000
2000	400	21137386	21137386.000	9016	9016.000
2450	1500	21137386	21137386.000	9481	9481.000
700	0	21137386	21137386.000	70266	70266.000
1400	950	21137386	21137386.000	14248	14248.000
1350	1200	21137386	21137386.000	17860	17860.000
750	400	21137386	21137386.000	94115	94115.000
2550	1550	21137386	21137386.000	11986	11986.000
1550	700	21137386	21137386.000	14402	14402.000
1200	400	21137386	21137386.000	36183	36183.000
2300	1400	21137386	21137386.000	8039	8039.000
2400	1000	21137386	21137386.000	9070	9070.000
1850	1600	21137386	21137386.000	13619	13619.000
1750	950	21137386	21137386.000	11054	11054.000
2550	1850	21137386	21137386.000	11245	11245.000
2050	1450	21137386	21137386.000	12240	12240.000
1850	1000	21137386	21137386.000	9031	9031.000
1700	1100	21137386	21137386.000	10913	10913.000
2050	1900	21137386	21137386.000	16096	16096.000
1850	1450	21137386	21137386.000	11260	11260.000
1100	950	21137386	21137386.000	85131	85131.000
2450	1450	21137386	21137386.000	13261	13261.000
1100	500	21137386	21137386.000	83322	83322.000
