#mGo	mLSP	Total	TotGenW	Counts	genWeight
2050	100	44775926	44775926.000	24704	24704.000
1450	1225	44775926	44775926.000	26945	26945.000
1400	500	44775926	44775926.000	26417	26417.000
2250	200	44775926	44775926.000	29390	29390.000
2000	600	44775926	44775926.000	34778	34778.000
1950	0	44775926	44775926.000	25465	25465.000
1550	1150	44775926	44775926.000	24350	24350.000
1900	0	44775926	44775926.000	30827	30827.000
1950	1000	44775926	44775926.000	20879	20879.000
1850	1100	44775926	44775926.000	22517	22517.000
2450	400	44775926	44775926.000	25736	25736.000
2800	1400	44775926	44775926.000	22062	22062.000
2600	1000	44775926	44775926.000	15170	15170.000
2750	1300	44775926	44775926.000	20570	20570.000
2150	100	44775926	44775926.000	20421	20421.000
1150	850	44775926	44775926.000	129735	129735.000
2400	1200	44775926	44775926.000	24493	24493.000
2750	300	44775926	44775926.000	18726	18726.000
1350	850	44775926	44775926.000	35390	35390.000
1950	1550	44775926	44775926.000	27411	27411.000
1750	300	44775926	44775926.000	37700	37700.000
2100	500	44775926	44775926.000	24365	24365.000
2800	800	44775926	44775926.000	27973	27973.000
1600	1100	44775926	44775926.000	25485	25485.000
2550	100	44775926	44775926.000	25420	25420.000
1850	1550	44775926	44775926.000	19436	19436.000
1450	0	44775926	44775926.000	25457	25457.000
2600	1300	44775926	44775926.000	25529	25529.000
2450	1600	44775926	44775926.000	20129	20129.000
1750	1525	44775926	44775926.000	22834	22834.000
2500	0	44775926	44775926.000	24058	24058.000
2400	1600	44775926	44775926.000	35213	35213.000
1450	900	44775926	44775926.000	31750	31750.000
1900	1100	44775926	44775926.000	29931	29931.000
1450	1200	44775926	44775926.000	29616	29616.000
1100	300	44775926	44775926.000	172047	172047.000
1350	800	44775926	44775926.000	39569	39569.000
1550	1325	44775926	44775926.000	30319	30319.000
2700	600	44775926	44775926.000	16600	16600.000
2350	300	44775926	44775926.000	28577	28577.000
1900	100	44775926	44775926.000	18109	18109.000
1850	900	44775926	44775926.000	23392	23392.000
2450	1550	44775926	44775926.000	18389	18389.000
2350	1300	44775926	44775926.000	27852	27852.000
1550	1250	44775926	44775926.000	18001	18001.000
1850	300	44775926	44775926.000	16496	16496.000
1300	400	44775926	44775926.000	48503	48503.000
2800	1600	44775926	44775926.000	27878	27878.000
2250	900	44775926	44775926.000	19979	19979.000
1500	400	44775926	44775926.000	33485	33485.000
1800	300	44775926	44775926.000	28606	28606.000
1500	700	44775926	44775926.000	36786	36786.000
2550	800	44775926	44775926.000	18134	18134.000
2550	1550	44775926	44775926.000	26403	26403.000
1550	1050	44775926	44775926.000	36033	36033.000
1750	1000	44775926	44775926.000	19865	19865.000
1650	850	44775926	44775926.000	26673	26673.000
900	450	44775926	44775926.000	196128	196128.000
850	350	44775926	44775926.000	197596	197596.000
1200	300	44775926	44775926.000	83997	83997.000
1600	200	44775926	44775926.000	26222	26222.000
2700	400	44775926	44775926.000	28310	28310.000
1250	850	44775926	44775926.000	62710	62710.000
2550	200	44775926	44775926.000	21646	21646.000
1300	450	44775926	44775926.000	47346	47346.000
1250	900	44775926	44775926.000	69227	69227.000
1650	1200	44775926	44775926.000	27161	27161.000
1500	750	44775926	44775926.000	25017	25017.000
1500	650	44775926	44775926.000	22195	22195.000
2750	1400	44775926	44775926.000	24713	24713.000
1400	1150	44775926	44775926.000	34253	34253.000
2300	1600	44775926	44775926.000	28068	28068.000
2350	700	44775926	44775926.000	20590	20590.000
2650	400	44775926	44775926.000	25972	25972.000
2100	600	44775926	44775926.000	23538	23538.000
1400	550	44775926	44775926.000	19542	19542.000
2100	1000	44775926	44775926.000	30199	30199.000
2500	600	44775926	44775926.000	19435	19435.000
2750	1000	44775926	44775926.000	17777	17777.000
1100	850	44775926	44775926.000	178316	178316.000
1850	1150	44775926	44775926.000	28797	28797.000
2350	500	44775926	44775926.000	23135	23135.000
650	425	44775926	44775926.000	330862	330862.000
1450	1150	44775926	44775926.000	16252	16252.000
1650	400	44775926	44775926.000	24368	24368.000
950	300	44775926	44775926.000	179328	179328.000
2200	400	44775926	44775926.000	21499	21499.000
2400	600	44775926	44775926.000	20112	20112.000
600	100	44775926	44775926.000	557810	557810.000
1750	850	44775926	44775926.000	23410	23410.000
1900	400	44775926	44775926.000	30773	30773.000
1800	1350	44775926	44775926.000	33816	33816.000
2100	300	44775926	44775926.000	18451	18451.000
2800	0	44775926	44775926.000	18851	18851.000
1150	300	44775926	44775926.000	122842	122842.000
1400	1100	44775926	44775926.000	31437	31437.000
1650	900	44775926	44775926.000	25672	25672.000
2750	1500	44775926	44775926.000	26518	26518.000
1200	800	44775926	44775926.000	77254	77254.000
700	475	44775926	44775926.000	236869	236869.000
1950	900	44775926	44775926.000	30429	30429.000
2750	100	44775926	44775926.000	17818	17818.000
1350	1050	44775926	44775926.000	35997	35997.000
1050	300	44775926	44775926.000	191254	191254.000
1750	1150	44775926	44775926.000	24856	24856.000
2750	600	44775926	44775926.000	24665	24665.000
1300	1050	44775926	44775926.000	43827	43827.000
1750	1450	44775926	44775926.000	27109	27109.000
2050	1500	44775926	44775926.000	29846	29846.000
1600	1350	44775926	44775926.000	30362	30362.000
2550	300	44775926	44775926.000	25414	25414.000
1600	1300	44775926	44775926.000	29007	29007.000
2150	0	44775926	44775926.000	28664	28664.000
850	625	44775926	44775926.000	193503	193503.000
1650	1300	44775926	44775926.000	24508	24508.000
2600	800	44775926	44775926.000	26687	26687.000
2200	900	44775926	44775926.000	27608	27608.000
950	700	44775926	44775926.000	192898	192898.000
2800	600	44775926	44775926.000	23835	23835.000
2800	1000	44775926	44775926.000	27836	27836.000
2400	1500	44775926	44775926.000	31621	31621.000
750	400	44775926	44775926.000	180112	180112.000
1200	100	44775926	44775926.000	83990	83990.000
1900	300	44775926	44775926.000	20543	20543.000
1800	1450	44775926	44775926.000	19918	19918.000
1900	500	44775926	44775926.000	27104	27104.000
1700	950	44775926	44775926.000	34240	34240.000
1300	200	44775926	44775926.000	52294	52294.000
2200	600	44775926	44775926.000	27462	27462.000
2000	1550	44775926	44775926.000	27691	27691.000
2300	1350	44775926	44775926.000	22873	22873.000
900	400	44775926	44775926.000	194026	194026.000
800	450	44775926	44775926.000	185913	185913.000
1650	0	44775926	44775926.000	21908	21908.000
1400	0	44775926	44775926.000	27249	27249.000
1000	450	44775926	44775926.000	208269	208269.000
2150	1300	44775926	44775926.000	34840	34840.000
1600	750	44775926	44775926.000	30630	30630.000
1550	1300	44775926	44775926.000	24662	24662.000
1350	650	44775926	44775926.000	34177	34177.000
2750	200	44775926	44775926.000	22786	22786.000
1200	950	44775926	44775926.000	86353	86353.000
2100	1500	44775926	44775926.000	29282	29282.000
1400	450	44775926	44775926.000	25079	25079.000
1900	1000	44775926	44775926.000	28490	28490.000
2050	900	44775926	44775926.000	24735	24735.000
600	350	44775926	44775926.000	543922	543922.000
2050	1350	44775926	44775926.000	28100	28100.000
2550	1300	44775926	44775926.000	32968	32968.000
2500	100	44775926	44775926.000	22266	22266.000
1100	550	44775926	44775926.000	185952	185952.000
1700	1200	44775926	44775926.000	27600	27600.000
2700	200	44775926	44775926.000	30231	30231.000
1850	200	44775926	44775926.000	20267	20267.000
1100	100	44775926	44775926.000	157887	157887.000
1300	550	44775926	44775926.000	41404	41404.000
950	550	44775926	44775926.000	219317	219317.000
1750	1200	44775926	44775926.000	23229	23229.000
2800	1500	44775926	44775926.000	33703	33703.000
2000	1150	44775926	44775926.000	23656	23656.000
2250	1250	44775926	44775926.000	39179	39179.000
1250	400	44775926	44775926.000	65721	65721.000
2200	1000	44775926	44775926.000	22229	22229.000
950	600	44775926	44775926.000	195336	195336.000
750	350	44775926	44775926.000	209839	209839.000
1450	650	44775926	44775926.000	24043	24043.000
1500	950	44775926	44775926.000	19375	19375.000
2250	1500	44775926	44775926.000	25296	25296.000
1250	650	44775926	44775926.000	49097	49097.000
1450	750	44775926	44775926.000	24796	24796.000
1000	775	44775926	44775926.000	194740	194740.000
1450	950	44775926	44775926.000	24998	24998.000
2550	1100	44775926	44775926.000	24500	24500.000
900	650	44775926	44775926.000	209546	209546.000
2550	1000	44775926	44775926.000	20509	20509.000
2600	1100	44775926	44775926.000	38928	38928.000
2500	1600	44775926	44775926.000	18438	18438.000
2250	1200	44775926	44775926.000	21929	21929.000
2000	1300	44775926	44775926.000	18832	18832.000
1650	100	44775926	44775926.000	18407	18407.000
1050	450	44775926	44775926.000	187773	187773.000
2150	1250	44775926	44775926.000	32920	32920.000
2350	800	44775926	44775926.000	23025	23025.000
1550	750	44775926	44775926.000	32964	32964.000
2000	1500	44775926	44775926.000	22807	22807.000
1600	1250	44775926	44775926.000	25369	25369.000
950	500	44775926	44775926.000	207032	207032.000
1300	900	44775926	44775926.000	53613	53613.000
650	400	44775926	44775926.000	321572	321572.000
1900	600	44775926	44775926.000	28615	28615.000
2400	1300	44775926	44775926.000	25470	25470.000
1850	1500	44775926	44775926.000	25061	25061.000
1250	100	44775926	44775926.000	70146	70146.000
850	400	44775926	44775926.000	190675	190675.000
850	550	44775926	44775926.000	199133	199133.000
1300	1000	44775926	44775926.000	45912	45912.000
2100	100	44775926	44775926.000	27570	27570.000
1700	700	44775926	44775926.000	29209	29209.000
2250	100	44775926	44775926.000	29475	29475.000
1750	1350	44775926	44775926.000	23403	23403.000
2500	400	44775926	44775926.000	28660	28660.000
